,videoId,publishedAt,channelId,title,description,channelTitle,liveBroadcastContent,publishTime,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
0,wwf09xtoQHU,2020-05-22 16:50:47+00:00,UCev-b-xy-p5fHK8x3zJyn1Q,"Quarantine - Wasafi Feat Diamond Platnumz, Rayvanny, Mbosso, Lava Lava, Queen Darleen &amp; Zuchu",Do You Think Your Quarantine Moves Are Better Than Us? Show Us Your Quarantine Moves! Audio Produced By S2Kizzy Video Shot and Directed By Director ...,Diamond Platnumz,none,2020-05-22 16:50:47+00:00,13184875,135054,12082,0,14388
1,Vz4HjqJwebA,2020-04-28 12:35:52+00:00,UCCgLoMYIyP0U56dEhEL1wXQ,Get SNATCHED during Quarantine | Before After Chloe Ting Challenge Results 🔥,Here are some before after transformation journeys of #chloetingchallenge community people doing the workouts and how their going. I hope everyone is ...,Chloe Ting,none,2020-04-28 12:35:52+00:00,5551715,201886,1291,0,8224
2,msxjmQowTIA,2020-06-24 02:21:36+00:00,UCGMHLRrGvKWWdk6EAZOqVfQ,Bug&#39;s Quarantine Tiktok Duets,My favorite people in tiktok :),Little Big Toys,none,2020-06-24 02:21:36+00:00,4364616,42109,5822,0,
3,YwVT1ao8FzM,2020-04-28 17:56:27+00:00,UCCryrohClZM8XK4yEYBE_qA,Hello Neighbor Steals Our Quarantine Games!!! We Challenge Him!,Hello Neighbor in Real Life Steals Our Play at Home Quarantine Games!!! Subscribe to Madison and Beyond: http://tinyurl.com/madisonsub Subscribe to Trinity ...,Trinity and Beyond,none,2020-04-28 17:56:27+00:00,3967220,41454,3756,0,
4,nW5bmRfwLHE,2020-03-25 16:49:43+00:00,UCb934vQ6fg1JZQKvkCQ_j-Q,Snow Tha Product - NoWhere To Go (QUARANTINE LOVE) (Official Music Video),"Since everyone is quarantined in the house because of corona, figured i would drink actual corona, and some 1942 and make a lil challenge for myself.. made ...",SNOWTHAPRODUCT,none,2020-03-25 16:49:43+00:00,2711806,82223,1635,0,10728
5,HZzFthHzoQc,2020-04-16 00:25:01+00:00,UCote1q4BlW0K0xJW9ejOW8Q,30 Days HOME QUARANTINE push-ups challenge epic transformation,"Hi there, im Renz lesaca Because of the corona virus outbreak some places in the philippines are under in Enhance Community Quarantine (ECQ) specialy ...",Renz Lesaca,none,2020-04-16 00:25:01+00:00,2661686,33747,1634,0,1370
6,9F8XSR7y5P0,2020-04-04 12:15:00+00:00,UCtZAaljDNIsIAIhwYYzvEiw,FORTNITE DANCE CHALLENGE IN REAL LIFE!! - Quarantine Edition,Bringing back the Fortnite Dance Challenge to help you move and have fun at home! Join The Family! ▻ http://bit.ly/ehbeefamily We Have A Video Game!,The Bee Family,none,2020-04-04 12:15:00+00:00,2428581,51988,5269,0,3187
7,f9p0ZL-5Ia0,2020-03-21 18:45:11+00:00,UC4maAeg5p7VReekWh4fTVcA,LAST TO Leave The Self Quarantine WINS w/ My CRUSH **Epic CHALLENGE** ❤️😷| Walker Bryant,"Hey guys its Walker Bryant, also known as Piper Rockelle's crush. Sit back and enjoy watching last to leave the self quarantine wins, with my crush epic ...",Walker Bryant,none,2020-03-21 18:45:11+00:00,2269326,51488,1557,0,
8,5I7GLP6_rbo,2020-04-11 14:55:57+00:00,UCZT_OWY9abyO3V9Rmdvh02w,Jannat Zubair and Ayaan Zubair FUNNIEST and CUTEST Video during Home Quarantine,WATCH Jannat Zubair and Ayaan Zubair FUNNIEST and CUTEST Video during Home Quarantine Company: ViralBollywood Entertainment Private Limited ...,Viralbollywood,none,2020-04-11 14:55:57+00:00,2225918,27751,1889,0,404
9,zGx_r6RoOkc,2020-03-25 20:05:08+00:00,UC5_IT4-XpinnvNQwM1e15eQ,194 RATED FUT DRAFT QUARANTINE CHALLENGE - FIFA 20,W2S 194 RATED FUT DRAFT CHALLENGE My Instagram: http://instagram.com/wroetoshaw My Twitter: http://twitter.com/wroetoshaw SIDEMEN Clothing: ...,W2SPlays,none,2020-03-25 20:05:08+00:00,2122903,62002,2377,0,2452
